BASE_PART_DESC,ALT_PART_DESC,SIMILARITY_SCORE
"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9754437
"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",0.97098976
"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",0.9642682
"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9547606
"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 6.3A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9467287
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.98258233
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Medium Time Lag Blow, 4A, 250VAC, 125VDC, 1000A (IR), Inline/holder",0.8677595
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",0.8620961
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",0.8584919
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",0.85362875
"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9754437
"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",0.96932125
"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/KC/PSE/SEMKO/TUV/VDE/cULus Electric Indicator, Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9601164
"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",0.958227
"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Glass PSE/VDE/cULus Electric Indicator, Fast Blow, 8A, 250VAC, 80A (IR), Inline/holder, 5x20mm",0.9414616
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.98258233
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Medium Time Lag Blow, 4A, 250VAC, 125VDC, 1000A (IR), Inline/holder",0.86380637
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",0.856277
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Indicator 10A 250V Fast Movement Electric Indicator, Fast Blow, 10A, 250VAC, 200A (IR), Inline/holder",0.85421586
"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm","Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",0.85401255
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",0.9883628
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.97098976
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.96932125
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/PSE/UL/VDE Electric Indicator, Fast Blow, 12.5A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9538786
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Very Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box Electric Indicator, Super Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9363116
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",0.9883628
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9642682
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/PSE/UL/VDE Electric Indicator, Fast Blow, 12.5A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.96357447
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.958227
"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm","Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/KC/PSE/SEMKO/TUV/VDE/cULus Electric Indicator, Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.94145125
"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder","Indicator Red Very Fast Movement 6.3A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Super Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder",0.9424031
"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder","Indicator Red Fast Movement 1A 250V Holder Plastic 5 X 20mm Glass Bulk CE/CSA/KC/PSE/UL Electric Indicator, Fast Blow, 1A, 250VAC, 100A (IR), Inline/holder",0.9371471
"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder","Indicator Red Fast Movement 2.25A 250V Holder Plastic Melf 6.3 X 32mm Glass CSA/UL Electric Indicator, Fast Blow, 2.25A, 250VAC, 100A (IR), Inline/holder",0.93590623
"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder","Indicator Red Fast Movement 1.8A 250V Holder Plastic Melf 6.3 X 32mm Glass CSA/UL Electric Indicator, Fast Blow, 1.8A, 250VAC, 100A (IR), Inline/holder",0.9335489
"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder","Indicator Red Very Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box Electric Indicator, Super Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",0.9321338
"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",0.9743366
"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm","Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",0.9741764
